; TSI Reconstruction from IPCC AR5 (based on Krivova et al., JGR, 2010, Ball et al., A&A, 2012, & Yeo et al., A&A, 2014)
; Offset -0.2529 W/m^2 to match SORCE/TIM absolute value
;    from Kopp & Lean (GRL, 2011)
; Extended using SORCE/TIM annual averages from 2003 onward
; Computed by Greg Kopp using TIM V.17 on Mon Jun 22 13:07:38 2015
;
; Year   TSI [W/m^2]
1882.5     1360.5782
1883.5     1360.4935
1884.5     1360.8503
1885.5     1360.7362
1886.5     1360.6162
1887.5     1360.4798
1888.5     1360.4476
1889.5     1360.4150
1890.5     1360.4145
1891.5     1360.5737
1892.5     1360.7511
1893.5     1360.9768
1894.5     1361.2473
1895.5     1361.0984
1896.5     1360.8843
1897.5     1360.6968
1898.5     1360.6289
1899.5     1360.5950
1900.5     1360.5154
1901.5     1360.4023
1902.5     1360.3697
1903.5     1360.4522
1904.5     1360.7964
1905.5     1360.6008
1906.5     1360.9224
1907.5     1360.7135
1908.5     1360.8639
1909.5     1360.7070
1910.5     1360.6742
1911.5     1360.4837
1912.5     1360.3894
1913.5     1360.4102
1914.5     1360.4743
1915.5     1360.8167
1916.5     1361.2200
1917.5     1361.3501
1918.5     1361.6103
1919.5     1361.2529
1920.5     1361.0071
1921.5     1360.8091
1922.5     1360.6203
1923.5     1360.5382
1924.5     1360.5067
1925.5     1360.6052
1926.5     1360.8675
1927.5     1361.1845
1928.5     1360.9587
1929.5     1360.9267
1930.5     1361.0700
1931.5     1360.7813
1932.5     1360.6013
1933.5     1360.5094
1934.5     1360.5194
1935.5     1360.6613
1936.5     1361.2149
1937.5     1361.3709
1938.5     1361.3091
1939.5     1361.4126
1940.5     1361.2310
1941.5     1361.1358
1942.5     1360.9409
1943.5     1360.6798
1944.5     1360.6418
1945.5     1360.8587
1946.5     1360.8995
1947.5     1361.4034
1948.5     1361.7946
1949.5     1361.6241
1950.5     1361.5234
1951.5     1360.9888
1952.5     1361.0493
1953.5     1360.8999
1954.5     1360.7376
1955.5     1360.8318
1956.5     1361.1858
1957.5     1361.6648
1958.5     1362.1473
1959.5     1361.8882
1960.5     1361.8268
1961.5     1361.5295
1962.5     1361.0907
1963.5     1360.9990
1964.5     1360.8612
1965.5     1360.7766
1966.5     1360.8042
1967.5     1361.1223
1968.5     1361.3516
1969.5     1361.2862
1970.5     1361.3974
1971.5     1361.3218
1972.5     1361.2751
1973.5     1361.0403
1974.5     1360.8790
1975.5     1360.7652
1976.5     1360.8543
1977.5     1361.0019
1978.5     1361.5419
1979.5     1361.8655
1980.5     1361.8028
1981.5     1361.8154
1982.5     1361.3702
1983.5     1361.3479
1984.5     1360.8258
1985.5     1360.7766
1986.5     1360.7847
1987.5     1360.7901
1988.5     1361.2933
1989.5     1361.7176
1990.5     1361.7257
1991.5     1361.8188
1992.5     1361.7360
1993.5     1361.1716
1994.5     1360.9116
1995.5     1360.8479
1996.5     1360.7256
1997.5     1360.8269
1998.5     1361.1886
1999.5     1361.4120
2000.5     1361.6178
2001.5     1361.5578
2002.5     1361.5882
2003.5     1361.0200
2004.5     1360.9186
2005.5     1360.7522
2006.5     1360.6731
2007.5     1360.5711
2008.5     1360.5380
2009.5     1360.5567
2010.5     1360.8024
2011.5     1361.0743
2012.5     1361.2410
2013.5     1361.3588
2014.5     1361.3959
