"year" "month" "date.excel" "frac.year" "co2" "co2.adj" "co2.fit" "co2.fit.adj" "co2.interpolated" "co2.interpolated.adj"
1958 1 21200 1958.0411 NA NA NA NA NA NA
1958 2 21231 1958.126 NA NA NA NA NA NA
1958 3 21259 1958.2027 315.7 314.41 316.17 314.89 315.7 314.41
1958 4 21290 1958.2877 317.45 315.15 317.28 314.97 317.45 315.15
1958 5 21320 1958.3699 317.5 314.73 317.83 315.05 317.5 314.73
1958 6 21351 1958.4548 NA NA 317.26 315.14 317.26 315.14
1958 7 21381 1958.537 315.86 315.15 315.93 315.22 315.86 315.15
1958 8 21412 1958.6219 314.93 316.15 314.07 315.29 314.93 316.15
1958 9 21443 1958.7068 313.2 316.06 312.49 315.36 313.2 316.06
1958 10 21473 1958.789 NA NA 312.42 315.41 312.42 315.41
1958 11 21504 1958.874 313.33 315.23 313.57 315.46 313.33 315.23
1958 12 21534 1958.9562 314.67 315.46 314.73 315.52 314.67 315.46
1959 1 21565 1959.0411 315.63 315.61 315.59 315.57 315.63 315.61
1959 2 21596 1959.126 316.38 315.76 316.24 315.63 316.38 315.76
1959 3 21624 1959.2027 316.71 315.42 316.98 315.69 316.71 315.42
1959 4 21655 1959.2877 317.72 315.4 318.08 315.76 317.72 315.4
1959 5 21685 1959.3699 318.29 315.5 318.63 315.84 318.29 315.5
1959 6 21716 1959.4548 318.15 316.02 318.06 315.93 318.15 316.02
1959 7 21746 1959.537 316.54 315.82 316.74 316.02 316.54 315.82
1959 8 21777 1959.6219 314.8 316.03 314.9 316.12 314.8 316.03
1959 9 21808 1959.7068 313.84 316.71 313.35 316.22 313.84 316.71
1959 10 21838 1959.789 313.26 316.27 313.31 316.31 313.26 316.27
1959 11 21869 1959.874 314.8 316.7 314.49 316.4 314.8 316.7
1959 12 21899 1959.9562 315.58 316.38 315.69 316.48 315.58 316.38
1960 1 21930 1960.041 316.43 316.42 316.58 316.56 316.43 316.42
1960 2 21961 1960.1257 316.97 316.36 317.26 316.65 316.97 316.36
1960 3 21990 1960.2049 317.58 316.26 318.04 316.72 317.58 316.26
1960 4 22021 1960.2896 319.02 316.67 319.15 316.8 319.02 316.67
1960 5 22051 1960.3716 320.03 317.23 319.67 316.88 320.03 317.23
1960 6 22082 1960.4563 319.59 317.47 319.05 316.94 319.59 317.47
1960 7 22112 1960.5383 318.18 317.48 317.68 316.99 318.18 317.48
1960 8 22143 1960.623 315.91 317.16 315.76 317.02 315.91 317.16
1960 9 22174 1960.7077 314.16 317.06 314.16 317.05 314.16 317.06
1960 10 22204 1960.7896 313.83 316.85 314.06 317.07 313.83 316.85
1960 11 22235 1960.8743 315 316.91 315.2 317.1 315 316.91
1960 12 22265 1960.9563 316.19 316.99 316.35 317.14 316.19 316.99
1961 1 22296 1961.0411 316.93 316.91 317.21 317.19 316.93 316.91
